# Метеостанция Черняховск, Россия, WMO_ID=26711, выборка с 21.05.2024 по 27.05.2025, все дни
# Кодировка: UTF-8
# Информация предоставлена сайтом "Расписание Погоды", rp5.ru
# Пожалуйста, при использовании данных, любезно указывайте названный сайт.
# Обозначения метеопараметров см. по адресу http://rp5.ru/archive.php?wmo_id=26711&lang=ru
#
"Местное время в Черняховске";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"13.05.2025 05:00";"0.8";"762.0";"";"";"100";"Ветер, дующий с запада";"1";"3";"";"";" ";"";"";"0.7";"";"";"";"";"";"";"";"";"Осадков нет";"12";"";"";"";"";
"13.05.2025 03:00";"1.8";"762.0";"";"";"98";"Ветер, дующий с запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"13.05.2025 02:00";"2.8";"761.0";"";"";"95";"Ветер, дующий с северо-запада";"1";"4";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"13.05.2025 01:00";"3.6";"762.0";"";"";"91";"Ветер, дующий с запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"13.05.2025 00:00";"3.3";"762.0";"";"";"89";"Ветер, дующий с запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"12.05.2025 23:00";"4.0";"762.0";"";"";"86";"Ветер, дующий с запада";"2";"4";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"12.05.2025 20:00";"9.3";"761.0";"";"";"60";"Ветер, дующий с северо-запада";"2";"9";"";"Облаков нет.";" ";"";"";"";"15.6";"";"";"";"";"";"20.0";"";"Осадков нет";"12";"";"";"";"";
"12.05.2025 19:00";"11.5";"761.0";"";"";"51";"Ветер, дующий с северо-запада";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"12.05.2025 18:00";"12.9";"761.0";"";"";"46";"Ветер, дующий с северо-запада";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"12.05.2025 17:00";"13.7";"761.0";"";"";"47";"Ветер, дующий с северо-запада";"4";"9";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"Осадков нет";"12";"";"";"";"";
"12.05.2025 16:00";"14.4";"761.0";"";"";"44";"Ветер, дующий с северо-запада";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"12.05.2025 15:00";"13.8";"761.0";"";"";"47";"Ветер, дующий с северо-запада";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"12.05.2025 14:00";"13.9";"762.0";"";"";"46";"Ветер, дующий с севера";"3";"8";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"12.05.2025 13:00";"14.7";"762.0";"";"";"40";"Ветер, дующий с севера";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"12.05.2025 12:00";"14.0";"762.0";"";"";"41";"Ветер, дующий с севера";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"12.05.2025 11:00";"13.1";"762.0";"";"";"47";"Ветер, дующий с севера";"3";"7";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"12.05.2025 09:00";"10.4";"763.0";"";"";"69";"Ветер, дующий с северо-запада";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"12.05.2025 08:00";"6.5";"763.0";"";"";"85";"Ветер, дующий с запада";"1";"2";"";"Облаков нет.";" ";"";"";"-2.0";"";"";"";"";"";"";"20.0";"";"Осадков нет";"12";"";"";"";"";
"12.05.2025 06:00";"-0.1";"762.0";"";"";"100";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"12.05.2025 05:00";"-1.9";"762.0";"";"";"100";"Ветер, дующий с юга";"1";"2";"";"";" ";"";"";"-1.9";"";"";"";"";"";"";"";"";"Осадков нет";"12";"";"";"";"";
"12.05.2025 03:00";"-0.8";"762.0";"";"";"100";"Ветер, дующий с юга";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"12.05.2025 02:00";"-0.2";"762.0";"";"";"100";"Штиль, безветрие";"0";"2";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"12.05.2025 01:00";"0.2";"762.0";"";"";"100";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"12.05.2025 00:00";"1.1";"762.0";"";"";"100";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"11.05.2025 23:00";"1.9";"762.0";"";"";"100";"Штиль, безветрие";"0";"1";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"11.05.2025 22:00";"2.9";"762.0";"";"";"100";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"11.05.2025 20:00";"6.6";"762.0";"";"";"85";"Штиль, безветрие";"0";"8";"";"40%.";" ";"";"";"";"12.6";"";"";"";"";"";"10.0";"";"0.4";"12";"";"";"";"";
"11.05.2025 19:00";"8.6";"762.0";"";"";"73";"Ветер, дующий с юго-запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"11.05.2025 18:00";"8.8";"762.0";"";"";"72";"Ветер, дующий с юго-востока";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"11.05.2025 17:00";"8.5";"762.0";"";"";"72";"Ветер, дующий с северо-запада";"1";"8";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"0.1";"12";"";"";"";"";
"11.05.2025 16:00";"9.3";"762.0";"";"";"60";"Ветер, дующий с севера";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"11.05.2025 15:00";"10.8";"762.0";"";"";"53";"Ветер, дующий с севера";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"11.05.2025 14:00";"11.9";"762.0";"";"";"46";"Ветер, дующий с северо-запада";"2";"6";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"11.05.2025 13:00";"11.6";"762.0";"";"";"44";"Ветер, дующий с северо-запада";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"11.05.2025 12:00";"11.5";"763.0";"";"";"43";"Ветер, дующий с северо-востока";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"11.05.2025 11:00";"12.1";"763.0";"";"";"45";"Ветер, дующий с севера";"3";"6";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"11.05.2025 10:00";"11.6";"763.0";"";"";"56";"Ветер, дующий с северо-запада";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"11.05.2025 08:00";"3.7";"764.0";"";"";"100";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"11.05.2025 06:00";"1.0";"764.0";"";"";"100";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"11.05.2025 05:00";"-0.7";"763.0";"";"";"100";"Ветер, дующий с юга";"1";"1";"";"";" ";"";"";"-0.8";"";"";"";"";"";"";"";"";"Осадков нет";"12";"";"";"";"";
"11.05.2025 03:00";"0.4";"763.0";"";"";"100";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"11.05.2025 02:00";"1.1";"763.0";"";"";"100";"Штиль, безветрие";"0";"3";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"11.05.2025 00:00";"3.0";"763.0";"";"";"95";"Ветер, дующий с северо-запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"10.05.2025 23:00";"3.4";"763.0";"";"";"91";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"10.05.2025 20:00";"8.1";"762.0";"";"";"68";"Ветер, дующий с северо-запада";"2";"6";"";"50%.";" ";"";"";"";"12.0";"";"";"";"";"";"10.0";"";"Следы осадков";"12";"";"";"";"";
"10.05.2025 19:00";"8.8";"762.0";"";"";"65";"Ветер, дующий с северо-запада";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"10.05.2025 18:00";"10.8";"762.0";"";"";"48";"Ветер, дующий с северо-запада";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"10.05.2025 17:00";"11.0";"762.0";"";"";"45";"Ветер, дующий с севера";"4";"6";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"Осадков нет";"12";"";"";"";"";
"10.05.2025 16:00";"10.7";"762.0";"";"";"47";"Ветер, дующий с севера";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"10.05.2025 15:00";"10.6";"762.0";"";"";"49";"Ветер, дующий с севера";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"10.05.2025 14:00";"9.3";"762.0";"";"";"57";"Ветер, дующий с северо-востока";"2";"6";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"10.05.2025 13:00";"11.1";"762.0";"";"";"52";"Ветер, дующий с северо-востока";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"10.05.2025 12:00";"10.3";"762.0";"";"";"54";"Ветер, дующий с севера";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"10.05.2025 11:00";"9.7";"762.0";"";"";"63";"Ветер, дующий с северо-востока";"2";"5";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"10.05.2025 10:00";"8.2";"762.0";"";"";"74";"Ветер, дующий с северо-востока";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"10.05.2025 09:00";"6.7";"762.0";"";"";"88";"Ветер, дующий с востока";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"10.05.2025 08:00";"4.9";"761.0";"";"";"98";"Ветер, дующий с северо-востока";"1";"4";"";"90  или более, но не 100%";" ";"";"";"3.5";"";"";"";"";"";"";"10.0";"";"3.0";"12";"";"";"";"";
"10.05.2025 06:00";"3.9";"761.0";"";"";"100";"Ветер, дующий с северо-востока";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"10.05.2025 05:00";"3.7";"760.0";"";"";"100";"Ветер, дующий с северо-востока";"1";"4";"";"";" ";"";"";"3.5";"";"";"";"";"";"";"";"";"3.0";"12";"";"";"";"";
"10.05.2025 04:00";"3.5";"760.0";"";"";"100";"Ветер, дующий с северо-востока";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"10.05.2025 03:00";"3.7";"760.0";"";"";"100";"Ветер, дующий с северо-востока";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"10.05.2025 02:00";"4.1";"760.0";"";"";"100";"Ветер, дующий с востока";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"10.05.2025 00:00";"4.2";"760.0";"";"";"100";"Ветер, дующий с востока";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"09.05.2025 23:00";"4.7";"760.0";"";"";"100";"Ветер, дующий с востока";"1";"2";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"09.05.2025 20:00";"5.4";"761.0";"";"";"93";"Штиль, безветрие";"0";"7";"";"100%.";"Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ";"";"";"";"9.6";"";"";"";"";"";"4.0";"";"0.7";"12";"";"";"";"";
"09.05.2025 18:00";"7.4";"761.0";"";"";"69";"Ветер, дующий с северо-запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"09.05.2025 17:00";"8.1";"761.0";"";"";"62";"Ветер, дующий с запада";"2";"7";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"Осадков нет";"12";"";"";"";"";
"09.05.2025 16:00";"8.9";"761.0";"";"";"56";"Ветер, дующий с северо-запада";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"09.05.2025 15:00";"8.8";"761.0";"";"";"57";"Ветер, дующий с севера";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"09.05.2025 14:00";"8.8";"762.0";"";"";"53";"Ветер, дующий с северо-запада";"3";"8";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"09.05.2025 13:00";"8.8";"762.0";"";"";"46";"Ветер, дующий с северо-запада";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"09.05.2025 12:00";"8.1";"762.0";"";"";"43";"Ветер, дующий с северо-запада";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"09.05.2025 11:00";"8.1";"762.0";"";"";"46";"Ветер, дующий с северо-запада";"3";"8";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"09.05.2025 09:00";"6.5";"762.0";"";"";"57";"Ветер, дующий с севера";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"09.05.2025 08:00";"5.0";"762.0";"";"";"70";"Ветер, дующий с северо-запада";"2";"3";"";"20–30%.";" ";"";"";"-2.8";"";"";"";"";"";"";"10.0";"";"Осадков нет";"12";"";"";"";"";
"09.05.2025 07:00";"1.8";"762.0";"";"";"88";"Ветер, дующий с северо-запада";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"09.05.2025 06:00";"-0.6";"762.0";"";"";"100";"Ветер, дующий с запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"09.05.2025 05:00";"-2.6";"762.0";"";"";"100";"Ветер, дующий с запада";"1";"2";"";"";" ";"";"";"-2.8";"";"";"";"";"";"";"";"";"Осадков нет";"12";"";"";"";"";
"09.05.2025 04:00";"-2.3";"761.0";"";"";"100";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"09.05.2025 03:00";"-1.3";"762.0";"";"";"100";"Ветер, дующий с запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"09.05.2025 02:00";"-0.1";"762.0";"";"";"100";"Ветер, дующий с северо-запада";"1";"3";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"09.05.2025 01:00";"0.4";"762.0";"";"";"99";"Ветер, дующий с запада";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"09.05.2025 00:00";"0.6";"762.0";"";"";"97";"Ветер, дующий с запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"08.05.2025 23:00";"1.4";"762.0";"";"";"95";"Ветер, дующий с северо-запада";"1";"3";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"08.05.2025 22:00";"1.8";"762.0";"";"";"92";"Ветер, дующий с северо-запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"08.05.2025 21:00";"2.6";"762.0";"";"";"88";"Ветер, дующий с запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"08.05.2025 20:00";"4.6";"762.0";"";"";"79";"Ветер, дующий с северо-запада";"1";"9";"";"40%.";" ";"";"";"";"10.0";"";"";"";"";"";"10.0";"";"Осадков нет";"12";"";"";"";"";
"08.05.2025 18:00";"8.1";"762.0";"";"";"59";"Ветер, дующий с северо-запада";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"08.05.2025 17:00";"8.3";"761.0";"";"";"56";"Ветер, дующий с северо-запада";"4";"8";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"Осадков нет";"12";"";"";"";"";
"08.05.2025 16:00";"9.9";"761.0";"";"";"52";"Ветер, дующий с северо-запада";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"08.05.2025 15:00";"8.9";"762.0";"";"";"50";"Ветер, дующий с северо-запада";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"08.05.2025 14:00";"9.2";"762.0";"";"";"46";"Ветер, дующий с севера";"4";"8";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"08.05.2025 13:00";"8.5";"762.0";"";"";"46";"Ветер, дующий с севера";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"08.05.2025 12:00";"7.8";"762.0";"";"";"47";"Ветер, дующий с севера";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"08.05.2025 11:00";"7.6";"762.0";"";"";"48";"Ветер, дующий с севера";"3";"7";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"08.05.2025 09:00";"5.4";"763.0";"";"";"62";"Ветер, дующий с севера";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"08.05.2025 08:00";"4.2";"763.0";"";"";"76";"Ветер, дующий с севера";"1";"3";"";"90  или более, но не 100%";" ";"";"";"-1.5";"";"";"";"";"";"";"10.0";"";"Осадков нет";"12";"";"";"";"";
"08.05.2025 06:00";"0.6";"763.0";"";"";"87";"Ветер, дующий с севера";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"08.05.2025 05:00";"0.2";"762.0";"";"";"88";"Ветер, дующий с севера";"1";"3";"";"";" ";"";"";"-1.5";"";"";"";"";"";"";"";"";"Осадков нет";"12";"";"";"";"";
"08.05.2025 03:00";"-1.0";"763.0";"";"";"91";"Ветер, дующий с севера";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"08.05.2025 02:00";"-1.1";"762.0";"";"";"92";"Ветер, дующий с севера";"2";"4";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"08.05.2025 01:00";"-0.6";"762.0";"";"";"92";"Ветер, дующий с севера";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"08.05.2025 00:00";"-1.0";"762.0";"";"";"96";"Ветер, дующий с севера";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"07.05.2025 23:00";"-0.3";"762.0";"";"";"90";"Ветер, дующий с запада";"1";"3";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"07.05.2025 21:00";"1.8";"763.0";"";"";"77";"Ветер, дующий с северо-запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"07.05.2025 20:00";"3.9";"762.0";"";"";"67";"Ветер, дующий с северо-запада";"2";"11";"";"10%  или менее, но не 0";" ";"";"";"";"10.8";"";"";"";"";"";"20.0";"";"Осадков нет";"12";"";"";"";"";
"07.05.2025 19:00";"5.7";"762.0";"";"";"58";"Ветер, дующий с северо-запада";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"07.05.2025 18:00";"7.4";"762.0";"";"";"47";"Ветер, дующий с северо-запада";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"07.05.2025 17:00";"8.6";"762.0";"";"";"40";"Ветер, дующий с северо-запада";"5";"11";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"Осадков нет";"12";"";"";"";"";
"07.05.2025 16:00";"9.8";"762.0";"";"";"41";"Ветер, дующий с северо-запада";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"07.05.2025 15:00";"9.9";"762.0";"";"";"45";"Ветер, дующий с северо-запада";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"07.05.2025 14:00";"10.6";"762.0";"";"";"50";"Ветер, дующий с северо-запада";"5";"11";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"07.05.2025 12:00";"9.6";"763.0";"";"";"50";"Ветер, дующий с северо-запада";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"07.05.2025 11:00";"9.2";"763.0";"";"";"53";"Ветер, дующий с севера";"5";"9";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"07.05.2025 09:00";"6.9";"763.0";"";"";"67";"Ветер, дующий с севера";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"07.05.2025 08:00";"5.8";"763.0";"";"";"77";"Ветер, дующий с севера";"3";"6";"";"20–30%.";" ";"";"";"-1.6";"";"";"";"";"";"";"10.0";"";"Осадков нет";"12";"";"";"";"";
"07.05.2025 06:00";"0.4";"762.0";"";"";"100";"Ветер, дующий с северо-запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"07.05.2025 05:00";"-1.4";"762.0";"";"";"100";"Ветер, дующий с северо-запада";"1";"3";"";"";" ";"";"";"-1.6";"";"";"";"";"";"";"";"";"0.2";"12";"";"";"";"";
"07.05.2025 03:00";"0.1";"761.0";"";"";"100";"Ветер, дующий с северо-запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"07.05.2025 02:00";"0.6";"761.0";"";"";"99";"Ветер, дующий с северо-запада";"1";"5";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"07.05.2025 00:00";"3.1";"761.0";"";"";"94";"Ветер, дующий с северо-запада";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"06.05.2025 23:00";"3.8";"760.0";"";"";"96";"Ветер, дующий с северо-запада";"2";"5";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"06.05.2025 21:00";"5.0";"759.0";"";"";"96";"Ветер, дующий с северо-запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"06.05.2025 20:00";"7.7";"759.0";"";"";"90";"Ветер, дующий с северо-запада";"2";"";"";"90  или более, но не 100%";"Дымка. ";"";"";"";"13.6";"";"";"";"";"";"4.0";"";"0.4";"12";"";"";"";"";
"06.05.2025 18:00";"9.6";"758.0";"";"";"69";"Ветер, дующий с северо-запада";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"06.05.2025 17:00";"11.1";"758.0";"";"";"62";"Ветер, дующий с северо-запада";"4";"9";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"Осадков нет";"12";"";"";"";"";
"06.05.2025 15:00";"13.4";"758.0";"";"";"40";"Ветер, дующий с северо-запада";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"06.05.2025 14:00";"12.8";"758.0";"";"";"40";"Ветер, дующий с северо-запада";"3";"8";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"06.05.2025 13:00";"13.2";"758.0";"";"";"40";"Ветер, дующий с запада";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"06.05.2025 12:00";"12.1";"759.0";"";"";"41";"Ветер, дующий с запада";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"06.05.2025 11:00";"12.8";"759.0";"";"";"42";"Ветер, дующий с запада";"3";"7";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"06.05.2025 10:00";"11.0";"759.0";"";"";"45";"Ветер, дующий с юго-запада";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"06.05.2025 09:00";"9.0";"759.0";"";"";"51";"Ветер, дующий с юго-запада";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"06.05.2025 08:00";"5.6";"760.0";"";"";"67";"Ветер, дующий с юго-запада";"3";"5";"";"90  или более, но не 100%";" ";"";"";"-0.8";"";"";"";"";"";"";"10.0";"";"Осадков нет";"12";"";"";"";"";
"06.05.2025 06:00";"0.1";"760.0";"";"";"97";"Ветер, дующий с юга";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"06.05.2025 05:00";"-0.8";"760.0";"";"";"99";"Ветер, дующий с юга";"1";"3";"";"";" ";"";"";"-0.8";"";"";"";"";"";"";"";"";"Осадков нет";"12";"";"";"";"";
"06.05.2025 03:00";"-0.7";"760.0";"";"";"99";"Ветер, дующий с юга";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"06.05.2025 02:00";"0.1";"761.0";"";"";"95";"Ветер, дующий с юга";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"06.05.2025 00:00";"0.3";"761.0";"";"";"96";"Ветер, дующий с юга";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"05.05.2025 23:00";"1.4";"761.0";"";"";"93";"Ветер, дующий с юга";"1";"2";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"05.05.2025 20:00";"5.9";"760.0";"";"";"64";"Ветер, дующий с северо-запада";"1";"9";"";"Облаков нет.";" ";"";"";"";"10.6";"";"";"";"";"";"20.0";"";"Осадков нет";"12";"";"";"";"";
"05.05.2025 19:00";"7.8";"760.0";"";"";"48";"Ветер, дующий с северо-запада";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"05.05.2025 18:00";"8.8";"760.0";"";"";"44";"Ветер, дующий с северо-запада";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"05.05.2025 17:00";"9.7";"760.0";"";"";"42";"Ветер, дующий с северо-запада";"3";"9";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"Осадков нет";"12";"";"";"";"";
"05.05.2025 15:00";"10.5";"760.0";"";"";"42";"Ветер, дующий с северо-запада";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
